Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2017-01-17T09:42:00.000+00:00,S3A,9.57854,9.57854,9.57854,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170117T094254_sui_zug.tif
2017-01-17T09:42:00.000+00:00,S3A,11.29811,10.93479,12.38415,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170117T094257_sui_zug.tif
2017-01-28T09:57:00.000+00:00,S3A,8.86738,8.86738,8.86738,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170128T095755_sui_zug.tif
2017-01-29T09:31:00.000+00:00,S3A,10.9704,9.91678,12.90061,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170129T093144_sui_zug.tif
2017-02-16T10:05:00.000+00:00,S3A,8.65466,7.27692,9.58117,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170216T100521_sui_zug.tif
2017-02-16T10:05:00.000+00:00,S3A,7.54323,3.65684,10.48722,38,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170216T100524_sui_zug.tif
2017-02-20T10:01:00.000+00:00,S3A,4.2768,2.66891,7.46338,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170220T100139_sui_zug.tif
2017-02-25T09:31:00.000+00:00,S3A,6.90734,5.27964,9.07399,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170225T093144_sui_zug.tif
2017-03-11T10:09:00.000+00:00,S3A,5.60057,4.87276,6.9549,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170311T100905_sui_zug.tif
2017-03-11T10:09:00.000+00:00,S3A,4.72101,2.97637,7.28766,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170311T100908_sui_zug.tif
2017-03-15T10:05:00.000+00:00,S3A,7.36861,4.07052,9.33916,7,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170315T100524_sui_zug.tif
2017-03-16T09:39:00.000+00:00,S3A,9.44712,5.95637,12.22208,48,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170316T093910_sui_zug.tif
2017-03-15T10:05:00.000+00:00,S3A,6.83465,4.12067,8.81363,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170315T100521_sui_zug.tif
2017-03-16T09:39:00.000+00:00,S3A,9.73382,5.38696,12.49947,51,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170316T093913_sui_zug.tif
2017-03-17T09:13:00.000+00:00,S3A,9.66972,9.0316,10.29085,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170317T091302_sui_zug.tif
2017-03-17T09:12:00.000+00:00,S3A,9.87449,9.23042,10.29147,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170317T091259_sui_zug.tif
2017-03-27T09:54:00.000+00:00,S3A,12.06412,9.92606,13.97331,34,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170327T095410_sui_zug.tif
